3.1,3.1,3.2,3.2,1.9,Employ
2.6,2.8,2.8,3.1,2.9,Employ
4.1,3.3,2.9,3.8,4.6,Not Employ
3.7,3.4,3.6,3.7,4.3,Not Employ
2.2,2.6,2.6,4,3.2,Not Employ
3.5,3.7,2.8,3.4,3.2,Not Employ
2.9,3,3.2,3.7,2.5,Employ
3,3,3.5,3.1,1.9,Employ
3.7,3.5,3.1,3.3,3.7,Not Employ
3.3,3.2,2.9,2.7,3.3,Not Employ
3.8,3.2,2.9,2.9,3.6,Not Employ
3.4,3.4,3.2,3.7,2.8,Employ
3.1,3.3,3,3.2,2.9,Employ
3.1,3.3,2.5,2.7,3.8,Not Employ
3.2,3.2,3.2,3,3.1,Not Employ
3.5,3,2.6,2.9,2.3,Employ
3.5,3.2,2.8,2.5,2.3,Employ
3.1,2.8,3.2,3.4,3.2,Not Employ
2.9,3.2,2.8,2.6,2.6,Employ
3.2,2.3,2.6,2.9,2.9,Employ
3.5,3,3.1,3.4,4,Not Employ
3.3,3.1,2.8,2.6,1.8,Employ
3.5,3.2,2.7,3.1,3.2,Not Employ
3.2,3.3,3.3,3.1,2.8,Employ
3.8,3.5,3.5,3.1,2.8,Employ
3.5,2.7,2.7,3.3,2.9,Employ
3.2,3.6,3.4,3.7,3.4,Not Employ
2.9,3,3,2.6,2.8,Employ
3.3,2.8,3.2,3.3,3.9,Not Employ
3.2,2.7,2.9,3.2,2.3,Employ
3.2,2.3,2.9,3.8,3.6,Not Employ
3.5,3.1,3.2,3.4,3,Employ
3,3.4,3,3.2,2.6,Employ
3.4,2.2,3.2,3.5,3.5,Not Employ
2.7,3.3,3,3.5,3.1,Not Employ
3.6,3.1,2.3,3.1,3.7,Not Employ
3.8,3.4,3.1,3.5,2.5,Employ
3.4,2.8,2.4,3,2.9,Employ
3.5,3.2,3.1,2.7,2.6,Employ
3.3,3.3,2.5,2.9,3.1,Not Employ
3.8,2.6,2.6,3.4,1.8,Employ
2.5,3.4,3.5,3.3,4.1,Not Employ
3.4,3.1,2.9,3.1,3.3,Not Employ
3.5,3.4,2.8,4,3.8,Not Employ
3.6,3.5,3.3,3.4,3.8,Not Employ
3.6,3.7,3.5,2.9,3.3,Not Employ
3.3,2.9,3,3.1,2.8,Employ
3,3.3,3,3.5,1.6,Employ
3.4,3.1,3,3.3,4.2,Not Employ
3.9,3.4,2.8,3.3,3.9,Not Employ
3.4,3.7,2.6,3.1,3.5,Not Employ
4.2,3.6,2.9,3,4.4,Not Employ
3.6,2.9,2.3,2.8,3.5,Not Employ
2.4,2.8,2.4,3.1,2.2,Employ
3.4,3.2,2.8,3,3.2,Not Employ
3.6,3.1,3,2.8,3.2,Not Employ
3.5,3.4,3.2,3.1,4.2,Not Employ
2.8,3.2,2.2,2.2,3.5,Not Employ
3.7,2.5,2.7,3,3.2,Not Employ
3.8,2.9,2.6,3.2,3.5,Not Employ
2.9,3,3.1,3.3,2.7,Employ
3,3.7,4.3,4.2,4.3,Not Employ
3.6,3.4,3.4,3.2,3.7,Not Employ
3.3,3.6,3.1,3.7,2.3,Employ
3.4,3.6,2.8,3.1,2.2,Employ
3.4,2.7,3.2,3.5,2.7,Employ
3.6,3.4,3.9,4.4,4.4,Not Employ
3.3,3.3,3.5,3.4,2.3,Employ
2.9,3.8,2.8,3,3.9,Not Employ
3.3,2.9,2.8,3.1,3.3,Not Employ
2.9,2.9,2.9,3.2,2.4,Employ
3.4,3.7,2.5,3,4,Not Employ
3.4,3.2,3.4,3.3,3.4,Not Employ
3.2,3.5,3.4,2.9,3.8,Not Employ
3.6,3.1,3.2,3.3,3.1,Not Employ
3.7,3.2,3.1,3.2,3,Employ
3.5,2.9,3.1,3.2,3.8,Not Employ
3.6,3.4,2.8,2.8,3.4,Not Employ
3.8,3.4,2.9,3.3,3.6,Not Employ
3.6,3.5,3.2,3.2,3.5,Not Employ
3.7,3.9,2.5,3.4,4,Not Employ
3,3.3,3.5,3,4.4,Not Employ
3.1,2.8,2.9,3.2,3,Employ
3,2.9,3.1,3.3,1.8,Employ
3.7,2.8,3.1,2.9,2.9,Employ
3.5,3.3,2.9,3.2,2.6,Employ
3.1,3.1,2.9,3.4,3.2,Not Employ
3.3,3.4,3.2,3,3.4,Not Employ
3.5,2.7,2.9,2.5,2,Employ
3.7,2.5,3.1,3,2.4,Employ
3.1,3.4,2.8,3,2.8,Employ
3.8,3.5,2.7,3.4,3.7,Not Employ
3.4,3.4,2.6,2.6,1.4,Employ
3.3,3.5,3.4,3.5,2.8,Employ
3.6,3.2,3.1,3.2,1.8,Employ
2.8,2.6,2.5,3,3.7,Not Employ
3.2,2.7,3.2,3.5,3.1,Not Employ
3.6,3.3,3.5,3.4,3.1,Not Employ
3.2,3.6,2.9,3,1.9,Employ
3.4,3.4,3.7,3.8,2.8,Employ
3,2.8,2.4,3,3.6,Not Employ
3.8,3.3,3.4,3.3,3.1,Not Employ
3.7,3,2.6,3.5,3.7,Not Employ
3.1,3,3.1,2,2.5,Employ
3.1,3.5,2.5,3.2,2.6,Employ
3,3,3,3.1,3.3,Not Employ
3,2.5,2.6,2.9,2.3,Employ
3.2,3.5,2.5,2.9,3.8,Not Employ
2.6,2.4,3.2,2.7,3.7,Not Employ
3.4,3.8,3.4,3.8,1,Employ
3.5,3.7,3.5,3.1,3.7,Not Employ
3.2,2.6,3.2,2.5,3.1,Not Employ
3.2,3.1,3.2,3.4,2.4,Employ
3.3,3.5,2.6,3.7,3,Employ
2.8,3,3,3.1,3.2,Not Employ
3.5,3,2.8,2.6,3.3,Not Employ
3.6,3.2,2.6,3.1,3.4,Not Employ
3.5,3.4,3,2.8,2.8,Employ
3,3.2,2.9,3.2,2.8,Employ
3.7,2.6,2.8,2.8,2.2,Employ
3.7,2.8,2.9,2.8,2.1,Employ
4.2,2.8,3.1,3.1,3.4,Not Employ
3,3.1,3,3.3,3.7,Not Employ
3.4,3.2,3,3.1,3.3,Not Employ
3.3,3,3.4,3.4,2.8,Employ
3.2,3.2,2.9,3.4,3.5,Not Employ
3.2,3.7,3.2,3.3,2.8,Employ
3.9,3.3,2.6,2.9,4.1,Not Employ
3.5,2.8,3,3.4,2.4,Employ
3.7,3.3,3.2,3.3,2.5,Employ
3,2.7,2.6,2.7,3.1,Not Employ
3.3,2.8,3.3,2.8,3.9,Not Employ
2.7,2.9,3.1,2.6,2.8,Employ
3.4,2.8,3.1,3.4,2.2,Employ
3.5,3,2.9,3.1,2.8,Employ
3.6,3.6,2.4,3,3.3,Not Employ
3.5,4,2.7,3.7,2.2,Employ
3.1,3,3,3.5,3.8,Not Employ
3.2,2.8,2.6,3.5,2.7,Employ
2.5,3.2,2.6,3,3.4,Not Employ
3.3,3.4,2.9,3.1,3.1,Not Employ
3.8,3.5,3.1,3.1,2.7,Employ
3.1,2.8,3.2,3.4,2.5,Employ
3.4,2.9,3.1,2.9,3.4,Not Employ
3.5,3.6,2.9,3,3.4,Not Employ
3.3,2.6,3,2.7,3.6,Not Employ
3.3,2.8,2.5,3.4,2.2,Employ
3.1,2.2,3,3.4,2.3,Employ
3.6,3.1,2.7,2.9,2.7,Employ
2.9,2.7,2.9,3,2.8,Employ
